"LerKas144"	"LerKas135"	"LerKas155"	"LerKas106"	"LerKas64"	"LerKas158"	"LerKas104"	"LerKas86"	"LerKas134"	"LerKas109"	"LerKas20"	"LerKas57"	"LerKas33"	"LerKas102"	"LerKas150"	"LerKas16"	"LerKas156"	"LerKas60"	"LerKas97"	"LerKas136"	"LerKas7"	"LerKas48"	"LerKas14"	"LerKas22"	"LerKas90"	"LerKas17"	"LerKas154"	"LerKas100"	"LerKas46"	"LerKas160"	"LerKas133"	"LerKas18"	"LerKas130"	"LerKas68"	"LerKas54"	"LerKas41"	"LerKas49"	"LerKas143"	"LerKas1"	"LerKas67"	"LerKas149"	"LerKas115"	"LerKas19"	"LerKas70"	"LerKas111"	"LerKas39"	"LerKas73"	"LerKas13"	"LerKas27"	"LerKas61"	"LerKas95"	"LerKas122"	"LerKas151"	"LerKas91"	"LerKas157"	"LerKas129"	"LerKas104.1"	"LerKas66"	"LerKas65"	"LerKas77"	"LerKas142"	"LerKas83"	"LerKas112"	"LerKas58"	"LerKas31"	"LerKas79"	"LerKas80"	"LerKas25"	"LerKas116"	"LerKas51"	"LerKas55"	"LerKas82"	"LerKas101"	"LerKas126"	"LerKas162"	"LerKas127"	"LerKas42"	"LerKas6"	"LerKas99"	"LerKas29"	"LerKas114"	"LerKas44"	"LerKas87"	"LerKas69"	"LerKas96"	"LerKas92"	"LerKas121"	"LerKas45"	"LerKas146"	"LerKas8"	"LerKas32"	"LerKas53"	"LerKas163"	"LerKas118"	"LerKas123"	"LerKas34"	"LerKas88"	"LerKas35"	"LerKas120"	"LerKas81"	"LerKas26"	"LerKas3"	"LerKas43"	"LerKas153"	"LerKas28"	"LerKas137"	"LerKas159"	"LerKas24"	"LerKas131"	"LerKas78"	"LerKas125"	"LerKas9"	"LerKas52"	"LerKas72"	"LerKas119"	"LerKas132"	"LerKas74"	"LerKas128"	"LerKas103"	"LerKas94"	"LerKas161"	"LerKas110"	"LerKas138"	"LerKas11"	"LerKas76"	"LerKas145"	"LerKas10"	"LerKas147"	"LerKas85"	"LerKas107"	"LerKas108"	"LerKas15"	"LerKas21"	"LerKas117"	"LerKas148"	"LerKas98"	"LerKas59"	"LerKas84"	"LerKas124"	"LerKas38"	"LerKas139"	"LerKas2"	"LerKas152"	"LerKas4"	"LerKas62"	"LerKas105"
"AT5G02910"	4.43469386836324	4.14674922072703	6.19758631332544	4.3237135522336	6.08935283239073	6.47039180174851	6.11413631279611	5.91620980860274	5.64565756801873	5.84704479406746	5.81239324319017	4.55193945512166	4.49138451964366	5.74077093374578	4.65702584139731	4.64570283988746	5.78028482482544	5.85651832247159	4.59380651838775	6.120313424997	4.74112685378055	5.70789843746409	6.15443401633962	5.11487469722404	4.56089836616512	4.57437392290258	4.4232832210702	4.42155902930899	5.15649864423779	5.56031861693617	5.86785566942039	5.13453760979391	4.85362670547368	5.87673042679888	4.54686439567749	4.61615377397173	5.48345676010963	4.75239403781624	4.83244079724386	5.25104474346941	6.47712621924542	4.328178511275	6.28204960891584	6.1253581617154	6.08472180934754	6.47712621924542	7.08787119956452	6.24985611330457	6.64384130359731	6.72458495096362	6.98493134637607	4.30556220716252	6.58621976842818	3.70752303945233	6.61982506739963	4.00649800858968	6.5942541850812	3.69852326074182	6.28345176521044	4.39119685138356	4.57412358007677	3.28811240924214	6.67562742648478	4.56505320005068	5.5695267383886	6.22364075754462	6.09135836343906	6.44609101916808	3.20707543989984	2.91778178517745	5.70005507904814	6.59634598969633	7.02597847796461	4.57833792799444	4.4321466770002	5.86678019705963	4.6323530648284	5.98758289815117	6.32971106165919	4.68232557766153	4.08883467859024	5.38247510192839	4.20898935049167	4.54368726851703	5.62162108681896	5.73866636704064	4.32538554532718	4.5500728810035	4.56143192740775	4.73751801258047	4.64088967991193	4.43121512670672	4.33086824196304	5.8595817278858	5.78113919026224	6.27169465285131	6.17206896949924	5.54668532094859	6.65250284486102	5.72403860358452	4.35211627267685	6.02442998349849	4.94724630891644	5.63787873019299	5.21852485817465	6.15131988824155	5.63017778891658	5.46776429923181	5.73923100170548	4.64607821845662	4.84241467289311	5.29061528241883	5.38296278321896	6.68380016344124	4.17909846941878	6.11583923379687	5.45617447134953	6.60967841984918	5.86739331770786	4.11764126157145	3.49721611728769	4.27849149313232	4.78049882248832	4.25874032212874	4.58368232029862	5.95310431555744	6.44930377975107	5.51296265494537	6.35426444725355	4.58441384747245	6.2034528815785	6.71537064416387	3.10670483826704	5.25664890675944	5.96709144797207	4.44290061304149	6.85686280061837	5.06871455687033	7.16862705023232	6.55931841044744	5.18010388189837	4.16020376052505	2.35304254814785	7.46085161759349	6.72542464300884	4.20342746448503
"AT5G48380"	7.9264419602628	7.69005599891529	7.67894044081362	8.66027261048553	7.42853203273013	8.15518297068598	7.97894627915919	8.58428559300124	7.75728459082896	8.16990913517137	6.25053364078641	8.14094632307054	6.88980414242032	5.40190234001175	7.46914460168527	7.00774983475907	8.86995765282709	8.34561620665124	8.08539933303687	6.79547096854443	7.65186535816692	7.36146197738458	6.99922453083831	6.72391400881038	7.72237913613129	6.12920966953405	8.42624858459864	7.19690032728877	7.10499614971272	7.39494351912203	7.99043327133241	8.63429326838854	7.54634758711563	9.50810447122532	8.5718407957269	8.17056746238661	7.82470168179502	7.4939763118934	7.19755288684958	8.16560792022244	7.51747428877758	6.84818428005891	5.32226974480195	8.63993697593368	6.91492956738472	8.1645402879145	8.65030201543538	7.87103929150769	5.32747944048223	5.47314457333172	5.05154165729814	6.12811069423678	8.60339652725398	9.13856984450948	7.3073071590648	5.90419270972816	7.54819001087268	7.82166201036129	7.8458773507261	7.08765425969862	6.68710330532342	6.16620738773885	8.84965955072095	5.638334868556	6.30309954301807	6.96308354837484	7.5892520596646	6.40723846654924	7.59718493971509	8.0177956398719	6.81793577589038	9.24481556021247	8.87540242458842	7.5839618651617	7.87538538113866	9.09601298928784	8.7913931958308	8.8673412207813	8.93484355642057	7.90776913068629	7.10891401226474	5.75731149319863	6.77614692419912	7.54732521462961	8.06655478248228	8.08511210240822	4.54154983154519	7.25393607041209	9.3005020336774	6.22860942097104	8.56187296219184	6.32966999628735	8.39348149930079	8.25946183958268	9.24700366371129	8.08307312882467	6.92067220897317	6.45199458017479	9.2349360611622	7.20655956751961	6.09263217051649	8.02851019061508	6.52753549691971	6.9572035272655	7.02544795063833	8.3353168934782	8.00981638321736	8.28932877406341	6.73744862541972	8.06592773879214	7.35714107729761	8.3927684945772	7.76791024367538	9.51225786482427	9.326023555619	7.10390777785974	6.12006182302054	9.85749865526853	6.47642073016689	6.29160741066307	5.2985514277478	8.47216314787816	7.26403323190697	6.79199206982249	7.83380252399385	7.50754256354678	4.7643429466316	7.07804281353992	8.53265310551101	9.52247089174496	9.00266806237137	6.0242443998032	7.3296979460602	8.8766338563689	7.39385540613272	6.94778968857299	8.6075853450634	9.0503045177571	9.51356332585512	7.9836312424295	8.86179662570634	9.59400490452062	7.6781395719865	7.53533269623276	7.72078994817375	6.16430181953343
"AT1G13750"	7.22562317406451	7.16353603660558	7.82840969424545	7.73521086255447	7.78671694503931	7.69884595108148	7.33286776273396	7.4319456818634	7.33766274480644	7.14911693533955	6.71518771480676	6.77588820469575	6.89047317557498	7.77346605835032	7.81623752612965	7.25713404625503	7.45818239830604	7.95546813389988	7.82076752702805	6.93477174386612	7.22237357858948	7.37634280632373	6.86293542806072	6.62595645717277	7.8678402311146	6.02678634759491	7.2392705998041	7.6570199198846	7.7241934588489	6.14868891740776	7.5414687659148	7.90775113275465	7.8023322931314	7.74067947107843	7.56668821473553	7.29082946824474	7.55504041460785	7.32496958858653	5.81483697367469	7.92525394574464	5.66658586872813	6.57129598331964	5.21057038814581	7.20952976387998	6.39615731717472	6.64399947433273	7.11940263560644	6.51022413208424	6.36564105842479	7.23761164625797	6.00886218540437	6.64181217821122	7.29741897146797	7.86892303904114	7.00713052614495	5.9361269511047	7.62748608954646	7.85369451684724	7.24173253064153	5.70922637727427	6.97016737339751	6.72057211190191	7.97703006775232	5.61335932316176	6.67453071397621	6.7964102267674	6.73201185004586	6.6148916654445	7.45818239830604	7.15686691517626	6.08482399450793	7.15399628942039	7.79266721387992	6.92197431064924	7.22091825256874	7.37589942519019	7.51689331732059	7.13403950961786	7.29378639135397	6.7885204415358	7.04608483149164	5.87332750723713	6.87031531058837	7.25539330062509	7.22629719661301	7.6210651377237	7.14248270148492	7.60711535079402	7.55550952396746	6.2845196958384	7.8232163785877	6.37336980418623	7.6443658375873	7.61910047872239	7.64773140535335	6.92019915173089	7.43333925580633	7.05573637288169	7.36420084359294	7.14861048652564	5.77155256048049	6.6129142729307	5.89854320313665	7.3440742719812	7.2279531880839	7.10744007196943	7.37113360428239	7.36769371930341	6.5574513937297	6.54846843551647	6.41376611581425	7.79142843931219	7.92956848705931	7.39786839198988	7.03231472110665	7.08207597924539	5.97631484685702	7.47328502536862	6.35874087210138	6.44949058052434	5.8808640403259	7.01271174120256	6.67173722316913	6.97388260967648	7.42403962366394	7.57332697113109	5.18296648728236	7.44904421073944	7.12120758168302	8.13532235302631	7.51769373382486	7.13229859804735	7.85079488812628	6.6237349713909	7.43059013007504	7.93450024274632	7.95725102810266	7.10770981645056	7.92666545969631	7.36975719682788	7.66785509889603	7.5292420571633	7.9539354274001	5.78080713925047	7.76558703530065	6.45961233643418
"CHR5:000407763-000407822"	2.2697646924788	2.07816286933727	2.97097481221569	2.55559523682702	3.04456439351689	3.24066933742178	3.06935951024281	1.91557693972298	2.69001259760069	2.8063359615668	3.5751790788308	2.9337891470986	3.35601934057754	3.18579193969041	3.14751187643603	3.38016093400638	3.19903342582981	3.52849005433495	3.00634867290776	3.50005462191775	3.36027422747798	3.57431483031503	3.35651201914518	3.78300186303478	2.84832045646631	3.69485866380244	2.71356841014142	2.5119742783016	4.32607651082231	3.49176951281251	2.65843236806493	4.02767618179501	3.36651166649755	2.75853867934086	3.62687442882778	3.42248929483517	3.22985115400878	3.16033504025505	3.4369870102558	3.24222919427788	3.09394665265937	2.20722712519747	2.68388610748138	2.52869202558877	2.79009755597633	3.07667601374962	2.86587580508465	2.81432473566072	2.67636146902955	3.28750075275709	3.09500891516167	2.53883450611524	2.94293398231703	2.79931467368377	3.14306373447829	3.0716335770529	2.56602438676244	2.68444876780426	1.70691242261601	1.93464738709383	2.50839574825883	2.29909698447949	2.69164552969645	2.5038307527151	3.19656436064257	3.59580775647097	3.12293765423329	3.34752754392654	3.44754657166436	5.32439060755772	3.16315463643989	4.01850236806433	2.01392375640558	1.70891743800466	2.69676598889247	2.35917352677238	1.54285837395811	2.69992213446964	3.32765863799593	2.66738418166481	2.65843236806493	2.92510333322116	3.00947999370658	3.86011635062915	3.18288134620954	2.73654193996582	3.27690799047201	3.18258897203024	3.63150555487347	3.94377499220142	3.31083287991728	3.1084477654194	3.27292565465712	2.89905243952064	3.04569555049404	3.06407449293161	3.55799559836622	3.61390442194877	2.3993070670462	2.57011046187226	2.71779492975371	3.44788666284619	3.32049398078641	2.85323481284178	3.87288412853037	2.57243179012317	3.39106364366857	2.4453202161271	3.19089128428895	2.76758247522301	2.8239142929607	3.20046720786639	3.82166116783996	2.47668149433749	1.51929078454895	2.44140359170851	2.80651764247179	2.61522974218363	2.09274681327364	2.80012670324397	2.72719383710924	2.8909736575094	2.47458143410616	3.61831980252091	2.60115474820289	1.89841463305565	2.10217585610318	2.86310297639418	2.74078323223491	3.33230360466442	2.30778626810592	3.12852808202933	2.91322154895268	4.39808204619489	3.4691764035755	3.6197926788217	3.40817663315407	3.75557969760837	3.62620950094314	4.04882162572856	3.1913708775437	3.19646861688566	5.60119068275224	3.87477454728884	4.68822711562294	1.56311406337241
"AT2G04395"	2.91425149502923	2.84536394345819	2.81727479248392	1.70980525459231	2.69501229451622	2.60539561182813	2.49806148486968	2.43809409218211	3.01355930406832	3.32282787300888	3.45287265603973	2.98156475939925	3.40913853617289	2.99293691270408	3.18913399272217	2.6574133857043	3.36036812926678	3.37383299774791	2.58421071362388	3.46082456023095	2.13791320290219	3.24435172344351	2.87210824105127	2.96546546193522	1.76094902673503	2.83840387207786	3.86760758928078	2.40206293847994	3.46803800842273	3.74394421791483	2.59069338405233	3.9680957963158	3.18753715820865	2.70568064681824	3.56304472276248	2.64745002298513	3.36085701017061	3.28205619914767	3.05778517724716	3.44128362732237	3.27231651425419	2.54298012342239	2.12528763418633	2.66646813000617	2.63611534948059	3.00384259770381	2.64661396996014	2.80177769229398	1.570345838496	3.35003043901064	3.24175184269249	2.28385389362783	2.96884820682401	2.72628048717593	1.98947491596241	3.52973098376296	2.63697998132538	1.86169617128885	1.24606818278996	2.65580575317707	2.68985750193093	2.55771594955931	2.28251870260169	2.66467361355887	3.43661554790442	3.44551930548967	2.92494108131024	3.39862685006226	2.85357225379709	5.40282431177969	3.48669984131636	4.60325140947707	1.9513544626975	2.35818607627659	2.58385227646147	3.0875573982453	2.63793838004424	2.99631610023458	2.63342875149741	2.23989626098887	1.82108809893917	2.06854502941104	3.18869807965541	3.4282802997545	2.89448454613936	3.16066908969786	3.36890716056464	3.58587365443041	3.19100862377416	3.93392547886791	3.38367804310135	3.21178955350345	3.1413157491243	2.82393180195642	3.33278501477676	2.91926434827365	4.14147079785047	3.1148514393427	3.26636697578247	3.1112973214331	2.68985750193093	3.60892644777329	3.46872336860309	2.99666524347188	3.7891706959544	3.50855994320838	2.39789776629845	2.97197769052953	3.68012042461118	3.42783989564011	2.94001166207441	3.31638843647524	3.76735046479313	1.90822965266901	2.18143303702461	2.73496966139084	2.77201045325576	1.93534979443557	3.28741389707016	3.11329629712127	2.99866440829158	2.42153683445821	3.13182636978305	3.29467123207491	3.08871899487293	2.39300768929814	2.50383625618502	1.66463703539228	2.62531392401047	3.64563481475796	3.30380596259846	2.93508332735134	2.81434879893052	3.80541711226005	3.22709128403401	3.65820886195658	3.95899018382444	3.13193305205441	2.97492787046748	3.8752821307684	2.40840405572711	2.42546399905832	5.79589512850331	3.03820857029932	3.72469623009791	1.29483566720681
"AV533951"	6.0461427744161	7.1686318134436	5.98164996755442	6.35545811235712	7.23551461960472	6.26094624053132	6.05887964675383	7.54287281808917	6.22750158199074	6.90400742817964	5.82395858513114	5.11870248507208	6.0769057835218	6.20817659182222	6.09321748606486	4.76807752984045	7.46993157765682	7.50110812647908	6.46750013456905	7.1875132039892	6.6607489919473	6.17260856234453	6.15166244779771	6.0278129059034	7.86239763613768	6.21769618227935	5.880351218437	5.99932680790937	8.2260572319754	5.71277282216982	5.9445049910634	7.7031105626493	7.68109263544474	6.10399842235935	5.72980980304523	7.40166702493507	6.1990595895479	7.06750729866043	6.11622698740417	7.36643199534995	6.2409662467044	5.8636518455361	5.74581928995927	7.67739551125297	6.02822627772137	7.23227587211336	8.0112512157736	7.17721476553105	8.08910890369002	5.89085715530393	6.12879723621755	5.30371000742102	6.36553731074433	8.26820715952014	5.83368990788969	5.80149582547374	6.33226822418435	6.06614969267948	7.40100777739897	5.8893852092028	7.74697418640044	5.92092629648193	6.24685674713866	5.85729333306177	6.52488987846229	7.91527831060092	7.40653235551874	6.18518819820125	7.67548670399269	6.48575060185276	6.46673340288286	7.94746708522137	6.60396082145626	7.51779185977503	7.4113030443758	6.17556498153411	7.41844612993719	6.1498492571179	7.85716626312846	6.32666530701327	6.16065500206333	5.54813362693066	5.97701955807616	7.10341180281685	7.42998716836229	7.40607275651996	5.95394805303904	6.15447875070634	6.14496760068741	5.7291688209398	7.44073585685747	5.92911286744071	8.05824686813612	5.73848024790332	7.0082795424104	7.346297767742	5.78661009917784	6.0537644832132	7.89066036943685	7.22096221818009	5.34213196272465	6.21200051336427	6.8684116914113	7.38348388055495	6.16567876707865	7.48256052262274	7.65895530083226	7.5877711797745	5.46459481462969	7.14082336624651	5.87193760777696	6.39780071131267	6.1976156297548	7.39265298684666	6.45912101712287	7.58749657728063	5.53584127447607	7.47745647769578	5.44501941921115	5.20666936598037	5.24162002562375	6.18501179953233	7.22302280183315	5.68415697898554	5.95087410070436	5.60901129182208	3.50604220795562	7.74231315568091	6.00202738847497	6.81930416093939	8.08183199678633	6.66878829455973	6.76358399431012	5.87676227463484	7.18508890391023	6.02753134790416	7.74791280292847	7.93998420060588	6.55708051159184	6.82106419924089	8.32675083593069	6.04028682582405	8.49549005898079	7.12012035442207	6.66038460914958	5.64248726919962
"AT1G51790"	7.83054656787011	6.41806658379887	6.5405357478923	6.18092451722776	5.80121983652953	6.5555019995024	5.60982675040255	6.16379677360461	6.76229974278143	5.98692832504846	5.51317179223555	5.90424487507637	6.10545288940809	5.59417198499568	5.9911441188116	5.90951581031361	6.09671894415883	5.96659907281939	5.58934460113997	6.88399115961607	6.03767213820213	6.37957849484011	6.6594932628691	6.39606031526998	6.79104394706584	6.30497788819199	6.65256445024415	5.42132016136733	6.6880955280517	5.54845961697529	6.61545676526968	6.92571765484309	7.19481909102699	6.58811540111577	5.9164128507047	5.71324727249223	6.30608249432718	5.95683116727735	4.8438387121666	5.94249489751439	5.52962226930421	5.18775741057709	4.48086436420829	5.84323975067213	5.72278475112349	6.37505720642094	6.6936694064787	5.70146220152255	5.93467288778114	4.92149366181749	4.57565412458113	5.03267364197259	7.00403316622454	6.46789135820774	6.11550798363401	5.3323839978489	5.83339699642003	6.84010007700422	6.24136752406763	3.58933160829271	6.6985170542507	5.01561368328778	6.65758467040169	4.48287636290945	5.89248792974267	5.91459493721057	5.71559991439232	6.16968352853601	6.56257582983611	6.15641767800424	6.12688972733431	6.56302618688604	6.44510143236424	6.05853894575832	5.64145687415757	6.4555756185382	6.56709272863166	6.23345562224871	6.41710617298476	6.46262052929217	5.6195195444526	4.49570982264353	5.65409762260917	5.74665607999336	6.37635156660075	6.03779529563711	4.71880711559308	6.19677136697175	6.82445244580757	5.19211922865604	6.47950260276635	4.88574321291168	6.45046654604916	6.08647600517789	7.44946307006223	5.94290719311271	6.28214971984704	5.81274755444508	6.28241518961039	5.74971034225286	4.93011579773988	6.01742216924732	4.59244647085624	5.53049165742049	6.16842009910444	6.91397141756262	6.81767510563634	6.69003664243866	5.72907626625299	5.91578666446578	4.78330781561869	6.47044458404901	6.06236955376273	6.70168473209611	5.76062947364561	6.42650772288642	4.03386275075852	6.50847015169495	5.69006408879385	5.1461814710917	4.18023229677472	5.83987938865447	7.19226515534424	7.08813568561734	6.29682540874035	7.00613268215923	5.36931216113809	6.93589111241419	5.78595828482757	7.16086859468675	6.45653988719503	6.55061919591967	7.11323530860731	5.37132331992726	6.48791458560513	6.59930798041023	5.6674781496718	6.0384009591912	6.87499493086572	5.42592503780569	6.7579925135558	6.76488123339323	7.3781728002019	6.28309050033073	6.59946745932739	3.24252730177648
"AT1G54580"	5.61736611002163	7.30684260959255	6.46833829363973	7.80606529782144	7.05644661946869	6.69056063967635	6.86300473946518	6.59421836292117	7.47459239965259	8.11339634759692	6.8547373428793	6.71090725213608	6.86100810162602	8.47212136450272	8.62358810310039	7.0544743692541	8.23157227453102	8.57401043003018	8.61101678273606	7.81865933191689	7.76118288340459	6.84451208043362	6.36009815871315	6.49130190140048	6.342562620716	7.1711594750609	7.01182817643467	7.36598710680362	6.51707969224432	8.07479424628608	7.86826890428042	6.25647895940885	7.64505292784322	6.79149740137884	6.68964866554176	6.93057941269125	8.02744448688492	6.73699251335999	6.34042260367597	8.36296972772849	7.41991387049149	6.38049498203583	7.92662039475382	6.67440581831943	7.70467353683398	7.73822142871212	6.61817651151534	6.36778800895985	8.11414158616092	8.82057859541603	8.52660074551671	7.37806266788647	5.93996699354872	8.14604828981687	6.60865889412464	6.10265629685623	6.98500383572447	6.39056125475619	5.12232007323329	7.97020626573375	6.79701088421822	7.6851867736121	6.45225130025449	6.79208679093543	7.59389229014765	7.16486938200699	7.29646854303792	5.87735062219292	7.37404471258615	8.09985795084377	6.5864788632274	6.19796597428091	8.29310090668466	7.67092613029189	8.01411476298423	6.82932710038052	8.21458346918632	7.84932097683998	8.103651257989	8.03172829551427	8.5059187606638	8.45236277191044	8.40171185708078	6.73699251335999	7.78316966589625	8.14170792910292	7.17094636993862	6.83222843919492	7.72577635614814	6.78181474357828	8.07379458987218	7.02704713958096	7.3111356652752	6.76036650227865	7.65734075118573	8.19794447122699	8.08090505225387	7.20892861397784	8.52951884464423	8.28123722552422	6.84487226178296	6.57775588969277	7.87465675215617	8.51777292010638	7.26791167055215	6.8179140132958	7.97584977941376	7.80497671398612	8.37936366928302	6.75952955324169	8.39072090324517	6.22097826112715	8.48265564400964	6.79831657227586	7.69300811896757	6.44407610679525	8.42535957276637	7.25814179174086	7.02409577130743	8.30056182955744	8.06053451495698	6.23133665427772	6.25716353596623	7.52795050838935	8.16601802818219	6.78056474150458	4.90634952543135	7.4468090170256	7.999310361334	7.33682026212946	6.49136374562093	6.61404594964928	6.6266715890512	8.28940699774144	7.46281742213434	6.56331382263511	8.20436158755724	7.12874996464841	6.71591218630839	7.64725104793872	8.40953954173407	6.41526926807334	6.58954360172428	7.47200688434076	7.01304727386984	7.80193700559331
"AT5G14330"	6.58015922264016	6.95764057839969	5.51459278946829	7.12980472854972	4.938154021347	6.94519768905917	6.18594056471435	5.90632474964463	5.83773510795615	6.9082270767751	6.36668663546418	3.85893467609043	5.61722604833319	6.27952610204284	5.86969055909296	6.11847184296417	7.19046110346214	6.66756970639315	6.58786036583689	6.39320352573965	6.62683038044808	6.89106788488171	7.01553318532648	5.88223373842386	5.90715736742622	5.20493478021412	6.88661887786417	5.87669727931632	6.38897201938603	4.72031149653776	6.35390455495877	7.21338139371811	5.56536045420595	6.94260921664514	6.44043857567874	4.87155137730889	6.73780396816002	4.80953962434705	4.24069944816598	6.177769710078	7.11590736011409	4.7202111013235	4.25123509636903	6.91510798525886	6.42972614974222	6.42763030389695	6.87832203876753	5.82111497097273	5.76511343398196	5.9721564549126	4.5378153947111	6.34730645018484	6.59403363116102	7.16294364408896	6.36476330096522	7.03487880024841	6.74232750414615	6.15101064954904	4.02746087655389	3.22933791299868	6.75583927317938	4.40055290807953	6.78913929041856	5.37556023188177	6.79777965068391	6.16340440814424	6.15786220219805	7.07051800415591	5.67954529508875	5.06030257805311	4.67816347034646	7.57860188906395	7.09221374047878	5.27679188033216	5.32630992095572	6.98734614125795	4.7250660438589	6.16421412807631	7.00633727841591	4.92090794330019	4.62144630683284	4.26985740016453	4.99912236581721	4.72103532880823	6.78199066213018	6.6631220921585	5.09331249684607	5.02937041620748	6.78286959541035	5.19989224765089	6.51053809411363	4.27551772191046	6.49523952153935	6.14938581028264	4.98137550516482	7.51049343823275	7.11793487196581	5.96211286488797	5.89465021754818	7.19650865206722	4.78648538218458	6.0304635156306	3.86782025863207	5.83954678013991	5.37015575043915	6.24867812287407	6.67645053814933	7.09675285968622	6.59674722366668	4.41169193424392	6.40661360497547	7.13724831493838	5.8975974994355	7.78097342427493	5.84759938927128	6.66912329644407	3.81491082149342	4.97845674420337	6.98217889214782	6.47657005757026	4.21350653777376	3.06719899720929	3.9667623180007	6.36932206486047	6.9301362898441	6.19865607551037	5.20475780237573	5.36355793085791	7.90802905744941	6.91031891963457	7.15695743408829	7.20609010657135	7.47029594715238	5.28688991460249	6.16069577989194	7.86880786641042	6.7474149257134	5.82307901717421	7.23622322578096	5.9002169442987	6.11841161053602	7.15066889294015	6.78688098051309	5.95438029577416	7.38381212863797	5.2544065781
"AT2G05520"	11.0121308628966	11.6728280036304	11.1980647123623	12.3813611654541	11.9030301750478	12.2153298351647	12.3813611654541	12.2708557690778	11.4913051139276	11.8974930324199	11.4862418213717	11.6426237056452	11.9423010422192	12.077547774619	12.0702280470026	12.0635662388601	12.5142374804933	11.9910621536111	12.7571177035023	10.9871150111744	11.44597336754	12.2247125356784	11.625370410061	11.4862418213717	12.1154483932942	11.1273229373439	12.1081869693338	12.9149065735364	12.3602006378988	11.0195846268568	12.578630359665	12.4363497666326	11.5282833564903	12.1733665527412	12.3707230275234	12.4475493261748	13.0911667647856	11.315035634897	10.8752618604643	12.578630359665	11.0229492524317	12.0119147095997	11.1980647123623	11.746308283233	11.5453485776159	11.2642301082948	11.1912990194639	11.2726820681246	11.4438160771385	11.7977752570779	11.4819768064296	12.6372673578609	10.7277408029907	12.5499186695849	12.0278091724667	11.2965401861461	12.5933898092975	12.0661708713111	11.9423010422192	11.2970451162906	11.1849133466307	11.6705016832172	12.5097638675389	11.5620033423052	11.0552425817316	11.9229557992013	11.9567776621961	11.1037656686129	12.4685798898238	11.7977752570779	12.0112622732384	11.4504883235754	12.1587714133548	11.8288933568853	11.9030301750478	12.5142374804933	11.9162995293067	11.7413480477487	12.1806392391604	11.0681547753249	11.9624909756329	11.7529303077955	12.1564455229773	11.7959793592234	12.2708557690778	12.6058476231619	12.4917281174218	12.4685798898238	12.2537746189113	11.412598103296	12.3930833376986	11.4358889907651	12.865433357328	12.3088425996153	11.2452513076304	12.2888780379333	12.6762400560554	12.3088425996153	13.0551513890141	12.1399203606447	11.2726820681246	11.6616965716941	11.5962392586133	12.0635662388601	11.4706897523884	11.746308283233	12.2625909902636	12.085354165143	11.5069908337551	11.5337184088597	12.5383978474741	11.9624909756329	12.7123931490797	12.3707230275234	11.9423010422192	11.9162995293067	11.9360918519019	12.1188705881467	11.7827922658518	12.528775004544	11.6489970162483	11.8449121648041	10.2710304097697	11.1612698077772	11.7122571198946	11.7679958207216	10.8534020821967	11.729846020036	12.7402821561759	12.1464956938822	12.313881815485	12.0523536800662	12.1587714133548	11.7454777963035	11.7454777963035	12.4144305673645	12.2979050010199	12.8374886002531	12.313881815485	12.0186113885714	12.087211064106	12.2750721968291	11.9426483394816	11.4819768064296	12.4253681709369	11.4438160771385
