"Ler1"	"Ler2"	"Kas1"	"Kas2"
"AT5G02910"	4.45674578389702	4.6331903239163	5.79060041289941	5.4432566252276
"AT5G48380"	4.71823456832263	4.64821937460879	7.72292275223625	7.46066579887982
"AT1G13750"	4.68724403166778	5.21018644727929	6.14851760513477	5.83686855077642
"CHR5:000407763-000407822"	-1.7108701997419	2.65040801317546	2.18277052309144	1.76021179336249
"AT2G04395"	-2.13010790823664	3.81702554241219	3.3831681576783	0.713348469877893
"AV533951"	5.30804009398155	4.96817020613601	7.31212449881624	6.79154766168012
"AT1G51790"	4.0564406613249	4.64821937460879	5.67230716657441	5.07334222094387
"AT1G54580"	4.87904575400201	4.77985537830753	6.18526420145412	5.79156104242886
"AT5G14330"	4.31744072545874	4.60274562730624	6.37897208460626	5.49283606816468
"AT2G05520"	10.5829259872411	10.8621632318493	12.1111679969328	11.7198740994731
"AT3G28510"	3.75119262809065	2.84636441613736	4.90692065988466	4.5825196941897
"BX834582"	-0.919050824938195	3.78679336648172	3.99853799519364	2.64163307388035
"CHR5:025765377-025765436"	-1.41553460447389	3.29209565739899	2.7355587348794	1.99312170584978
"AT4G23470"	9.2865057241567	9.62648711884618	10.6217316881882	10.2639116719494
"AT1G14010"	5.76357487961937	4.96817020613601	6.54292980602004	6.41687746585947
"AT3G25760"	4.75892114939557	6.28606122386129	7.37856932130064	6.77058219335927
"AV807345"	-3.10873463368767	3.95005490876851	4.72803210682655	-3.07426655479656
"AT3G14540"	-1.92389321066112	3.55508307694294	3.09309949151524	-0.602849377415922
"AT2G39000"	6.4677205190401	6.82935859294548	7.79981798175757	7.54625134587357
"AT4G24570"	5.88258633580698	6.16944971511876	8.91132959516282	8.75957625099784
"AT5G45750"	3.32279289803457	3.44640443291664	5.65457446144042	4.16152327236599
"BX839045"	5.36411797127148	5.01261068131905	6.98774575739344	6.41219240900715
"AT3G57240"	5.9474057785429	5.87039888036981	10.4517022717187	10.1616307000371
"AT1G62380"	7.38992792617603	7.65887714690323	9.01604611839043	9.01604611839043
"AT3G56400"	7.70624399696283	7.76315165494969	9.21433897389748	8.95532457644832
"AT2G45730"	4.02886666451373	4.54026457681621	6.87980431452425	6.72769616835819
"AT4G38160"	4.09637476359655	3.74300437974352	5.88682348044382	5.56455766497037
"AT4G27652"	4.92248375319068	5.86088489383216	6.86395289572089	6.27390404376284
"CHR2:009372236-009372295"	-0.633420264535823	3.3045988247759	3.09309949151524	2.80550653494251
"AT3G04720"	7.04875287916151	7.12102919746506	9.68751968356013	9.20578657453161
"AT3G57650"	6.40953590240823	6.20659434337733	7.7500427271684	7.41792699350956
"AT3G45680"	3.84694473681134	3.16351755321413	6.19966208731791	5.73978008394265
"AT1G77510"	5.85739136373759	6.1344169418418	7.54005246075504	7.047421357694
"AT1G09950"	3.44640443291664	2.98431232654288	5.785090327876	5.35591503285241
"AT3G58850"	3.19698040224353	3.52025775284785	4.76450428365036	4.43015053708562
"AT1G59870"	5.3275982368417	5.31170343425623	6.72293751782568	6.37114164498086
"AT5G45480"	5.16291883020188	4.76592771572203	6.94111937436863	6.26808146360634
"AT5G45430"	5.30669408813508	3.77059288265168	10.2569568220046	10.0776083650745
"AT1G72060"	6.92781416330825	7.38694757914253	8.91469777168837	8.43034356293457
"BX834603"	2.73066428374528	4.40239719257885	5.23858833305906	3.6331198752456
"AT4G32850"	4.22460066285547	3.9935150774095	6.1366063922841	5.333763853222
"AT1G19960"	11.7685192934236	11.6316477859686	13.5228979909494	13.2078110414128
"AT2G40750"	6.85313802869059	7.66330652426989	8.44880579083694	8.7420090411799
"AT3G47540"	4.46732733480055	3.86271396709911	5.96830252663581	5.56455766497037
"AT2G03870"	4.93859547856946	4.64072079045424	7.78508505607923	7.107651714067
"AT3G18250"	6.9470064223158	6.37553897463155	8.70173140935434	8.37868286799928
"AT3G23120"	6.32417458177041	6.43630220097479	7.99993036343251	8.06826881195673
"AT5G57560"	4.82280509448159	4.86591404188178	7.06327965927093	6.99681520135727
"AT1G06200"	4.9288433986031	5.31900278567588	8.97207183061534	8.612117385663
"AT5G08240"	3.89214706390594	3.06178095769936	4.96840423214532	4.52306809403852
"AT4G36050"	4.51627022760938	4.24319437866848	6.0046529827524	5.79060041289941
"AT2G31865"	7.32366003956189	7.46307502742393	8.9533732522094	8.86649676414143
"AT3G45860"	3.61316513965556	3.39840714834713	4.55536400835842	4.61153080219897
"AT3G25882"	5.5334424760672	5.01701066547425	7.77985256537499	7.38128331971356
"AT3G11400"	6.69829873166833	6.63261310078715	8.19653168511208	7.99442832747436
"AT1G62840"	4.40239719257885	5.22996502522341	6.25703045380753	5.35110781653629
"BX830692"	4.10351544264026	3.83599695882003	6.72293751782568	6.48714266693655
"AT3G55970"	4.0390322039729	3.68708089418803	5.46252563919794	5.1115703466776
"AT2G14560"	7.94182844918452	7.79561944262507	9.44707022231957	9.18084932041211
"AT5G46520"	3.00280252585895	3.21539023960876	4.83921771140871	3.99130638593282
"AT4G32060"	4.60485225472743	4.45072431020339	6.2880344629788	5.91575019290163
"AT5G42830"	3.76245731832022	3.57237790780261	5.46125039030748	4.31910297005083
"AT5G22250"	5.31900278567588	4.94489248609481	7.08785801881376	6.64799902598034
"AT5G20230"	7.61549068995134	7.89344547197081	9.8759392446056	9.42781983034886
"AT2G30270"	5.52591407850555	5.33879077330877	7.16126107050473	6.54023873564343
"TC268551"	3.87654800589706	4.35916416821324	6.77562215566614	6.62684348973484
"AT1G07000"	3.80596286813269	3.63019102248005	5.10761812120511	4.43599656475336
"AT1G35310"	4.25242946949784	4.1399501069985	5.88771106533364	4.76450428365036
"AT1G76600"	4.17314526016361	2.99701434901085	5.16312384579137	4.70591524684032
"AT3G18130"	6.77708035520295	6.60877911480512	8.08096253594749	8.0288637462982
"AT4G29200"	3.03981506697768	4.12316367495482	6.87980431452425	6.67421497899691
"BX824219"	3.27382936867912	4.25242946949784	5.92943779673274	4.83254880700543
"AT1G65820"	4.67991099189513	4.64072079045424	6.47763002751575	5.60072713512579
"AT2G38290"	6.22309408361415	6.37242378591104	7.4453234995347	7.49995796097874
"AT2G26010"	7.96401949835623	7.89026390301029	11.0616935773731	11.0518525767868
"AT5G52440"	8.34627542301842	8.32710532924952	9.9623825869407	9.6144926185895
"CHR5:018450922-018450981"	3.24294908451512	3.46415315732093	4.9304102025183	3.8342943702616
"AT5G05300"	3.32279289803457	2.46570216157386	3.78289824618022	4.16547174228729
"AT4G26070"	6.50393439919788	6.79935089934919	7.72292275223625	7.97171534550904
"AT3G61950"	4.85448072662539	4.55825424825226	6.14434482473973	5.52066173535697
"AT5G19240"	7.52536941979845	7.58148224224622	9.15959644929345	9.21127188827867
"AT5G24530"	5.87039888036981	5.984881890583	7.61564874992809	7.39508734903967
"AT4G02380"	8.86899301443127	9.17431554691286	11.4591248665655	11.1520405412959
"AT1G18400"	5.4646035771279	5.6549912564443	7.34558193803309	7.07673808454111
"AT5G42850"	3.01205231148307	2.9473817365306	5.4567719393179	4.56627625740085
"AT1G19700"	5.4475944434569	5.4826275626819	7.90669781432188	7.92572022426729
"AT1G32920"	8.53700049436638	8.84879329840924	10.2639116719494	10.3744325538758
"AT2G22230"	6.24693519841118	6.15309238412016	8.37943600740846	7.94136618962905
"AT3G07195"	4.15661042470459	3.66716416827604	6.382586524053	5.70541765404188
"AT5G53870"	4.55608786706805	4.24576044795247	6.64098194727551	6.20306472778347
"AT3G02700"	3.39840714834713	3.24635673065333	6.32212014135757	6.00693959538193
"AT5G66320"	6.0635392497977	5.93348182747937	7.64533282838287	7.3412654320427
"AT3G44300"	3.63867184447833	3.9935150774095	5.63045172003414	4.68859781037389
"AT2G36295"	-0.633420264535823	3.57562230758394	3.08423490849113	1.68853095656211
"AT2G05540"	5.15889674279709	4.8526784850885	6.36145896428969	5.84745898444901
"AT1G65800"	5.54552276782042	5.3557213285224	7.97091252502412	7.50800682499413
"AT4G28460"	4.22719134333674	4.51404703208306	6.35844998797637	5.77163901574226
"AT3G32200"	-0.328984155519668	3.69541823601176	3.70329331945705	2.45253500160564
"AT5G15980"	4.40239719257885	4.61040562823913	5.99751492160509	5.79156104242886
"AT2G32960"	3.1450452633194	3.10805796274417	4.57712177249814	3.8342943702616
"AT4G17490"	5.57840779814227	5.09756168706324	6.86524294327843	6.28868337511642
"CHR4:005775741-005775682"	5.2352239368407	4.65772609588088	6.60541917515497	5.89772230287393
"AT3G13950"	4.82772383077878	5.16840430209289	7.02792866803649	6.91432772494976
"AT4G11850"	3.21880619415552	3.65875429200822	4.80969989635582	4.02724170120721
"AT1G66700"	4.07926102060575	4.47557420058108	6.80192599836282	6.37114164498086
"AT3G25660"	5.85739136373759	6.83875464641453	8.11897415984209	7.7269451367551
"AT3G19350"	3.75935755649608	3.52571869845756	5.36070713530766	4.46981263010461
"AT2G25460"	3.53770907083773	3.40737365049357	4.95169075563577	4.31288668153938
"AT2G43570"	4.48378490695398	3.86571616001048	6.17773691633259	6.84357090722242
"AT3G55470"	4.23649651424285	3.89214706390594	5.1395044939387	5.05767588117171
"AT1G15880"	3.45528722283778	4.28645042056968	5.5273679696086	4.68859781037389
"AT2G29350"	4.2954943470683	3.75119262809065	5.90523543130825	5.73978008394265
"AT1G72520"	3.40737365049357	3.1450452633194	4.49500293916567	4.24695192163569
"AT5G03800"	-0.94724339878462	4.61040562823913	4.1587666999694	1.97621830857602
"AT1G25083"	6.11411366587742	5.84333504568326	7.427636006407	7.07319893333588
